,,Breed,,,,,,,,,,,,,,,,,,,,
,,Angelfish,Arrowfish,Beta,Carp,Catfish,Comet,Fatfish,Flashfish,Foxface,Leaffish,Goldfish,Goldshark,Pygmy,Pufferfish,Rainbow,Shark,Snooper,Snout,Spotanus,Stickfish,Tigerfish
Breed,Angelfish,Angelfish,Fatfish,Comet,Comet,Fatfish,Flashfish,Snooper,Tigerfish,Pufferfish,Rainbow,Stickfish,Goldshark,Stickfish,Rainbow,Tigerfish,Snout,Goldshark,Snooper,Pufferfish,Flashfish,Angelfish
,Arrowfish,Fatfish,Arrowfish,Flashfish,Tigerfish,Catfish,Goldshark,Snout,Snooper,Rainbow,Tigerfish,Rainbow,Fatfish,Flashfish,Angelfish,Goldshark,Catfish,Snout,Arrowfish,Comet,Angelfish,Snooper
,Beta,Comet,Flashfish,Beta,Carp,Tigerfish,Pufferfish,Rainbow,Stickfish,Pygmy,Carp,Pygmy,Comet,Beta,Leaffish,Pufferfish,Tigerfish,Rainbow,Flashfish,Goldfish,Leaffish,Stickfish
,Carp,Comet,Tigerfish,Carp,Carp,Tigerfish,Pufferfish,Flashfish,Stickfish,Pygmy,Leaffish,Beta,Rainbow,Beta,Leaffish,Stickfish,Angelfish,Rainbow,Flashfish,Pygmy,Pufferfish,Comet
,Catfish,Fatfish,Catfish,Tigerfish,Tigerfish,Catfish,Goldshark,Arrowfish,Snooper,Rainbow,Angelfish,Flashfish,Snout,Flashfish,Angelfish,Snooper,Shark,Snout,Arrowfish,Rainbow,Goldshark,Fatfish
,Comet,Flashfish,Goldshark,Pufferfish,Pufferfish,Goldshark,Comet,Angelfish,Rainbow,Carp,Stickfish,Leaffish,Tigerfish,Leaffish,Stickfish,Rainbow,Snooper,Tigerfish,Angelfish,Carp,Comet,Flashfish
,Fatfish,Snooper,Snout,Rainbow,Flashfish,Arrowfish,Angelfish,Fatfish,Goldshark,Comet,Flashfish,Comet,Snooper,Rainbow,Tigerfish,Angelfish,Arrowfish,Fatfish,Snout,Stickfish,Tigerfish,Goldshark
,Flashfish,Tigerfish,Snooper,Stickfish,Stickfish,Snooper,Rainbow,Goldshark,Flashfish,Leaffish,Comet,Pufferfish,Angelfish,Pufferfish,Comet,Flashfish,Fatfish,Angelfish,Goldshark,Leaffish,Rainbow,Tigerfish
,Foxface,Pufferfish,Rainbow,Pygmy,Pygmy,Rainbow,Carp,Comet,Leaffish,Foxface,Beta,Goldfish,Stickfish,Goldfish,Beta,Leaffish,Flashfish,Stickfish,Comet,Foxface,Carp,Pufferfish
,Leaffish,Rainbow,Tigerfish,Carp,Leaffish,Angelfish,Stickfish,Flashfish,Comet,Beta,Leaffish,Beta,Rainbow,Carp,Pufferfish,Stickfish,Angelfish,Flashfish,Tigerfish,Pygmy,Pufferfish,Comet
,Goldfish,Stickfish,Rainbow,Pygmy,Beta,Flashfish,Leaffish,Comet,Pufferfish,Goldfish,Beta,Goldfish,Stickfish,Pygmy,Carp,Leaffish,Flashfish,Comet,Rainbow,Foxface,Carp,Pufferfish
,Goldshark,Goldshark,Fatfish,Comet,Rainbow,Snout,Tigerfish,Snooper,Angelfish,Stickfish,Rainbow,Stickfish,Goldshark,Comet,Flashfish,Tigerfish,Snout,Snooper,Fatfish,Pufferfish,Flashfish,Angelfish
,Pygmy,Stickfish,Flashfish,Beta,Beta,Flashfish,Leaffish,Rainbow,Pufferfish,Goldfish,Carp,Pygmy,Comet,Pygmy,Carp,Pufferfish,Tigerfish,Comet,Rainbow,Goldfish,Leaffish,Stickfish
,Pufferfish,Rainbow,Angelfish,Leaffish,Leaffish,Angelfish,Stickfish,Tigerfish,Comet,Beta,Pufferfish,Carp,Flashfish,Carp,Pufferfish,Comet,Goldfish,Flashfish,Tigerfish,Beta,Stickfish,Rainbow
,Rainbow,Tigerfish,Goldshark,Pufferfish,Stickfish,Snooper,Rainbow,Angelfish,Flashfish,Leaffish,Stickfish,Leaffish,Tigerfish,Pufferfish,Comet,Rainbow,Snooper,Angelfish,Goldshark,Carp,Comet,Flashfish
,Shark,Snout,Catfish,Tigerfish,Angelfish,Shark,Snooper,Arrowfish,Fatfish,Flashfish,Angelfish,Flashfish,Snout,Tigerfish,Goldfish,Snooper,Shark,Arrowfish,Catfish,Rainbow,Goldshark,Fatfish
,Snooper,Goldshark,Snout,Rainbow,Rainbow,Snout,Tigerfish,Fatfish,Angelfish,Stickfish,Flashfish,Comet,Snooper,Comet,Flashfish,Angelfish,Arrowfish,Snooper,Fatfish,Stickfish,Tigerfish,Goldshark
,Snout,Snooper,Arrowfish,Flashfish,Flashfish,Arrowfish,Angelfish,Snout,Goldshark,Comet,Tigerfish,Rainbow,Fatfish,Rainbow,Tigerfish,Goldshark,Catfish,Fatfish,Snout,Comet,Angelfish,Snooper
,Spotanus,Pufferfish,Comet,Goldfish,Pygmy,Rainbow,Carp,Stickfish,Leaffish,Foxface,Pygmy,Foxface,Pufferfish,Goldfish,Beta,Carp,Rainbow,Stickfish,Comet,Spotanus,Beta,Leaffish
,Stickfish,Flashfish,Angelfish,Leaffish,Pufferfish,Goldshark,Comet,Tigerfish,Rainbow,Carp,Pufferfish,Carp,Flashfish,Leaffish,Stickfish,Comet,Goldshark,Tigerfish,Angelfish,Beta,Stickfish,Rainbow
,Tigerfish,Angelfish,Snooper,Stickfish,Comet,Fatfish,Flashfish,Goldshark,Tigerfish,Pufferfish,Comet,Pufferfish,Angelfish,Stickfish,Rainbow,Flashfish,Fatfish,Goldshark,Snooper,Leaffish,Rainbow,Tigerfish
