,,Fin Type,,,,,,,,,,,,,,,,,,,,
,,Bluetip,Canary,Crimson,Daffodil,Hooked,Greenfin,Imperial,Orange,Oriental,Peachy,Pink,Razorback,Royal,Rusty,Sapphire,Serrated,Silky,Snubbed,Spined,Striped,Tangerine
Breed,Angelfish,$28,,$24,,,,,,$54,,$58,$42,$34,,$152,,,,,$22,$28
,Arrowfish,,,$8,$6,,$9,,,,$10,,,$10,,,,,,,,
,Beta,,,,$13,,,,,,,$27,,,$18,,,$13,,$9,$13,$16
,Carp,$16,$56,,,,,,$16,,,,,,$19,,,,,,,$24
,Catfish,$24,,,,,,$16,,$36,$36,,$24,,,,$24,,$19,,,
,Comet,$16,,$12,,,$15,$24,$24,,,$40,,,$19,$16,,,,,,$16
,Fatfish,,$7,,$4,,,,,$26,$7,$21,,,$9,,,$4,,$4,$4,
,Flashfish,$16,$13,$16,$14,,$15,$16,$24,$24,,$40,$84,$12,$13,$16,$24,,$19,,$10,$16
,Foxface,,,,,,,,,$32,,$36,,,$31,,,,,,,$36
,Leaffish,,,$22,,,$21,,,,$16,$32,,$22,,$30,,,$25,,$20,
,Goldfish,,$12,$11,,,$10,,$22,,$11,,,$11,$12,,,,$18,,,$56
,Goldshark,,$13,,,,$9,,,$30,,,$12,$10,,$12,,,$9,,$8,$12
,Pygmy,,,,,,,$24,$16,$54,,,$24,$12,,$26,,,,,,
,Pufferfish,,,$26,,,,$33,$33,,,,$33,,$20,,,,,,,$33
,Rainbow,,$25,$16,,,$21,,$20,,$16,,,$39,$25,$20,,,$25,,$20,$20
,Shark,,$9,,$4,$10,,,,,,,,,$7,,,$4,,$4,$4,
,Snooper,,,,,,,,,$28,,$31,,$21,$16,$28,$28,,$24,,$13,
,Snout,,,,,,,$24,,,,,$24,,,$24,,,$19,,,
,Spotanus,,$9,,$4,,,,,,,,,,$7,,,$4,,$4,$4,
,Stickfish,,$9,$5,$4,,,,$14,,,$31,,,$9,,,$4,,$4,$4,
,Tigerfish,,$24,$10,$8,,,,,,,$38,,$14,$16,$15,,,,$8,$39,$21
